"title","authors","matched_title","matched_author","submitted","updated","score","num_reviews","id","arx_id","arx_id_match","match_type"
"Learning from Between-class Examples for Deep Sound Recognition","[""Yuji Tokozume"", ""Yoshitaka Ushiku"", ""Tatsuya Harada""]","Learning from Between-class Examples for Deep Sound Recognition","Yuji Tokozume|Yoshitaka Ushiku|Tatsuya Harada","2017-11-28 13:29:45","2018-02-28 12:41:50",7,3,"B1Gi6LeRZ",NA,"1711.10282v2","automatic"
"The High-Dimensional Geometry of Binary Neural Networks","[""Alexander G. Anderson"", ""Cory P. Berg""]","The High-Dimensional Geometry of Binary Neural Networks","Alexander G. Anderson|Cory P. Berg","2017-05-19 21:33:00","2017-05-19 21:33:00",6,3,"B1IDRdeCW",NA,"1705.07199v1","automatic"
"Understanding Deep Neural Networks with Rectified Linear Units","[""Raman Arora"", ""Amitabh Basu"", ""Poorya Mianjy"", ""Anirbit Mukherjee""]","Understanding Deep Neural Networks with Rectified Linear Units","Raman Arora|Amitabh Basu|Poorya Mianjy|Anirbit Mukherjee","2016-11-04 18:54:50","2018-02-28 02:23:47",6.33333333333333,3,"B1J_rgWRW",NA,"1611.01491v6","automatic"
"Revisiting The Master-Slave Architecture In Multi-Agent Deep Reinforcement Learning","[""Xiangyu Kong"", ""Fangchen Liu"", ""Bo Xin"", ""Yizhou Wang""]","Revisiting the Master-Slave Architecture in Multi-Agent Deep Reinforcement Learning","Xiangyu Kong|Bo Xin|Fangchen Liu|Yizhou Wang","2017-12-20 03:00:46","2017-12-20 03:00:46",4.66666666666667,3,"B1KFAGWAZ",NA,"1712.07305v1","automatic"
"Neural Program Search: Solving Data Processing Tasks from Description and Examples","[""Illia Polosukhin"", ""Alexander Skidanov""]",NA,NA,NA,NA,5.33333333333333,3,"B1KJJf-R-",NA,NA,"automatic"
"Deep Learning as a Mixed Convex-Combinatorial Optimization Problem","[""Abram L. Friesen"", ""Pedro Domingos""]","Deep Learning as a Mixed Convex-Combinatorial Optimization Problem","Abram L. Friesen|Pedro Domingos","2017-10-31 16:42:44","2018-04-16 20:46:14",7,3,"B1Lc-Gb0Z",NA,"1710.11573v3","automatic"
"Principled Hybrids of Generative and Discriminative Domain Adaptation","[""Han Zhao"", ""Zhenyao Zhu"", ""Junjie Hu"", ""Adam Coates"", ""Geoff Gordon""]","Principled Hybrids of Generative and Discriminative Domain Adaptation","Han Zhao|Zhenyao Zhu|Junjie Hu|Adam Coates|Geoff Gordon","2017-05-25 01:02:16","2017-10-27 19:29:31",5.33333333333333,3,"B1NGT8xCZ",NA,"1705.09011v2","automatic"
"Neural Task Graph Execution","[""Sungryull Sohn"", ""Junhyuk Oh"", ""Honglak Lee""]",NA,NA,NA,NA,5.33333333333333,3,"B1NOXfWR-",NA,NA,"automatic"
"Spectral Normalization for Generative Adversarial Networks","[""Takeru Miyato"", ""Toshiki Kataoka"", ""Masanori Koyama"", ""Yuichi Yoshida""]","Spectral Normalization for Generative Adversarial Networks","Takeru Miyato|Toshiki Kataoka|Masanori Koyama|Yuichi Yoshida","2018-02-16 14:41:39","2018-02-16 14:41:39",7.33333333333333,3,"B1QRgziT-",NA,"1802.05957v1","automatic"
"Empirical Risk Landscape Analysis for Understanding Deep Neural Networks","[""Pan Zhou"", ""Jiashi Feng""]",NA,NA,NA,NA,5.66666666666667,3,"B1QgVti6Z",NA,NA,"automatic"
"Fidelity-Weighted Learning","[""Mostafa Dehghani"", ""Arash Mehrjou"", ""Stephan Gouws"", ""Jaap Kamps"", ""Bernhard Sch\u00f6lkopf""]","Fidelity-Weighted Learning","Mostafa Dehghani|Arash Mehrjou|Stephan Gouws|Jaap Kamps|Bernhard Schölkopf","2017-11-08 02:05:11","2018-05-23 14:27:21",6,3,"B1X0mzZCW",NA,"1711.02799v2","automatic"
"Learning Weighted Representations for Generalization Across Designs","[""Fredrik D. Johansson"", ""Nathan Kallus"", ""Uri Shalit"", ""David Sontag""]","Learning Weighted Representations for Generalization Across Designs","Fredrik D. Johansson|Nathan Kallus|Uri Shalit|David Sontag","2018-02-23 15:30:18","2018-02-26 18:59:29",6.66666666666667,3,"B1X4DWWRb",NA,"1802.08598v2","automatic"
"Don't Decay the Learning Rate, Increase the Batch Size","[""Samuel L. Smith"", ""Pieter-Jan Kindermans"", ""Chris Ying"", ""Quoc V. Le""]","Don't Decay the Learning Rate, Increase the Batch Size","Samuel L. Smith|Pieter-Jan Kindermans|Chris Ying|Quoc V. Le","2017-11-01 18:04:31","2018-02-24 00:16:12",6.33333333333333,3,"B1Yy1BxCZ",NA,"1711.00489v2","automatic"
"Learning to Infer","[""Joseph Marino"", ""Yisong Yue"", ""Stephan Mandt""]",NA,NA,NA,NA,5.33333333333333,3,"B1Z3W-b0W",NA,NA,"automatic"
"Real-valued (Medical) Time Series Generation with Recurrent Conditional GANs","[""Stephanie Hyland"", ""Crist\u00f3bal Esteban"", ""Gunnar R\u00e4tsch""]","Real-valued (Medical) Time Series Generation with Recurrent Conditional GANs","Cristóbal Esteban|Stephanie L. Hyland|Gunnar Rätsch","2017-06-08 15:19:02","2017-12-04 04:31:38",5,3,"B1ZZTfZAW",NA,"1706.02633v2","automatic"
"WRPN: Wide Reduced-Precision Networks","[""Asit Mishra"", ""Eriko Nurvitadhi"", ""Jeffrey J Cook"", ""Debbie Marr""]","WRPN: Wide Reduced-Precision Networks","Asit Mishra|Eriko Nurvitadhi|Jeffrey J Cook|Debbie Marr","2017-09-04 19:56:48","2017-09-04 19:56:48",6.33333333333333,3,"B1ZvaaeAZ",NA,"1709.01134v1","automatic"
"Apprentice: Using Knowledge Distillation Techniques To Improve Low-Precision Network Accuracy","[""Asit Mishra"", ""Debbie Marr""]","Apprentice: Using Knowledge Distillation Techniques To Improve Low-Precision Network Accuracy","Asit Mishra|Debbie Marr","2017-11-15 23:45:59","2017-11-15 23:45:59",7.33333333333333,3,"B1ae1lZRb",NA,"1711.05852v1","automatic"
"Overcoming Catastrophic Interference using Conceptor-Aided Backpropagation","[""Xu He"", ""Herbert Jaeger""]",NA,NA,NA,NA,7,3,"B1al7jg0b",NA,NA,"automatic"
"ElimiNet: A Model for Eliminating Options for Reading Comprehension with Multiple Choice Questions","[""Soham Parikh"", ""Ananya Sai"", ""Preksha Nema"", ""Mitesh M Khapra""]","ElimiNet: A Model for Eliminating Options for Reading Comprehension with Multiple Choice Questions","Soham Parikh|Ananya B. Sai|Preksha Nema|Mitesh M. Khapra","2019-04-04 16:44:44","2019-04-04 16:44:44",4.66666666666667,3,"B1bgpzZAZ",NA,"1904.02651v1","automatic"
"A Compressed Sensing View of Unsupervised Text Embeddings, Bag-of-n-Grams, and LSTMs","[""Sanjeev Arora"", ""Mikhail Khodak"", ""Nikunj Saunshi"", ""Kiran Vodrahalli""]",NA,NA,NA,NA,6.66666666666667,3,"B1e5ef-C-",NA,NA,"automatic"
"Characterizing Adversarial Subspaces Using Local Intrinsic Dimensionality","[""Xingjun Ma"", ""Bo Li"", ""Yisen Wang"", ""Sarah M. Erfani"", ""Sudanthi Wijewickrema"", ""Grant Schoenebeck"", ""Dawn Song"", ""Michael E. Houle"", ""James Bailey""]","Characterizing Adversarial Subspaces Using Local Intrinsic Dimensionality","Xingjun Ma|Bo Li|Yisen Wang|Sarah M. Erfani|Sudanthi Wijewickrema|Grant Schoenebeck|Dawn Song|Michael E. Houle|James Bailey","2018-01-08 18:54:40","2018-03-14 07:24:10",7,3,"B1gJ1L2aW",NA,"1801.02613v3","automatic"
"On the regularization of Wasserstein GANs","[""Henning Petzka"", ""Asja Fischer"", ""Denis Lukovnikov""]","On the regularization of Wasserstein GANs","Henning Petzka|Asja Fischer|Denis Lukovnicov","2017-09-26 08:53:41","2018-03-05 13:55:14",5,3,"B1hYRMbCW",NA,"1709.08894v2","automatic"
"N2N learning: Network to Network Compression via Policy Gradient Reinforcement Learning","[""Anubhav Ashok"", ""Nicholas Rhinehart"", ""Fares Beainy"", ""Kris M. Kitani""]","N2N Learning: Network to Network Compression via Policy Gradient Reinforcement Learning","Anubhav Ashok|Nicholas Rhinehart|Fares Beainy|Kris M. Kitani","2017-09-18 16:26:53","2017-12-17 11:46:06",6,3,"B1hcZZ-AW",NA,"1709.06030v2","automatic"
"Semi-Supervised Learning via New Deep Network Inversion","[""Balestriero R."", ""Roger V."", ""Glotin H."", ""Baraniuk R.""]","Semi-Supervised Learning via New Deep Network Inversion","Randall Balestriero|Vincent Roger|Herve G. Glotin|Richard G. Baraniuk","2017-11-12 15:42:24","2017-11-12 15:42:24",5.33333333333333,3,"B1i7ezW0-",NA,"1711.04313v1","automatic"
"Divide and Conquer Networks","[""Alex Nowak"", ""David Folqu\u00e9"", ""Joan Bruna""]","Divide and Conquer Networks","Alex Nowak-Vila|David Folqué|Joan Bruna","2016-11-08 06:07:25","2018-10-14 18:11:39",6.66666666666667,3,"B1jscMbAW",NA,"1611.02401v7","automatic"
"LEARNING SEMANTIC WORD RESPRESENTATIONS VIA TENSOR FACTORIZATION","[""Eric Bailey"", ""Charles Meyer"", ""Shuchin Aeron""]",NA,NA,NA,NA,5,3,"B1kIr-WRb",NA,NA,"automatic"
"Non-Autoregressive Neural Machine Translation","[""Jiatao Gu"", ""James Bradbury"", ""Caiming Xiong"", ""Victor O.K. Li"", ""Richard Socher""]","Non-Autoregressive Neural Machine Translation","Jiatao Gu|James Bradbury|Caiming Xiong|Victor O. K. Li|Richard Socher","2017-11-07 04:42:48","2018-03-09 03:37:52",6.66666666666667,3,"B1l8BtlCb",NA,"1711.02281v2","automatic"
"THE EFFECTIVENESS OF A TWO-LAYER NEURAL NETWORK FOR RECOMMENDATIONS","[""Oleg Rybakov"", ""Vijai Mohan"", ""Avishkar Misra"", ""Scott LeGrand"", ""Rejith Joseph"", ""Kiuk Chung"", ""Siddharth Singh"", ""Qian You"", ""Eric Nalisnick"", ""Leo Dirac"", ""Runfei Luo""]",NA,NA,NA,NA,6.33333333333333,3,"B1lMMx1CW",NA,NA,"automatic"
"VOCABULARY-INFORMED VISUAL FEATURE AUGMENTATION FOR ONE-SHOT LEARNING","[""jianqi ma"", ""hangyu lin"", ""yinda zhang"", ""yanwei fu"", ""xiangyang xue""]",NA,NA,NA,NA,5,3,"B1mAkPxCZ",NA,NA,"automatic"
"Softmax Q-Distribution Estimation for Structured Prediction: A Theoretical Interpretation for RAML","[""Xuezhe Ma"", ""Pengcheng Yin"", ""Jingzhou Liu"", ""Graham Neubig"", ""Eduard Hovy""]","Softmax Q-Distribution Estimation for Structured Prediction: A Theoretical Interpretation for RAML","Xuezhe Ma|Pengcheng Yin|Jingzhou Liu|Graham Neubig|Eduard Hovy","2017-05-19 18:17:00","2017-10-27 19:50:50",5.33333333333333,3,"B1mSWUxR-",NA,"1705.07136v3","automatic"
"Universal Agent for Disentangling Environments and Tasks","[""Jiayuan Mao"", ""Honghua Dong"", ""Joseph J. Lim""]",NA,NA,NA,NA,6.33333333333333,3,"B1mvVm-C-",NA,NA,"automatic"
"Generalizing Hamiltonian Monte Carlo with Neural Networks","[""Daniel Levy"", ""Matt D. Hoffman"", ""Jascha Sohl-Dickstein""]","Generalizing Hamiltonian Monte Carlo with Neural Networks","Daniel Levy|Matthew D. Hoffman|Jascha Sohl-Dickstein","2017-11-25 18:08:02","2018-03-02 21:05:40",7,3,"B1n8LexRZ",NA,"1711.09268v3","automatic"
"Learning Gaussian Policies from Smoothed Action Value Functions","[""Ofir Nachum"", ""Mohammad Norouzi"", ""George Tucker"", ""Dale Schuurmans""]",NA,NA,NA,NA,5.66666666666667,3,"B1nLkl-0Z",NA,NA,"automatic"
"Learning to Multi-Task by Active Sampling","[""Sahil Sharma*"", ""Ashutosh Kumar Jha*"", ""Parikshit S Hegde"", ""Balaraman Ravindran""]","Learning to Multi-Task by Active Sampling","Sahil Sharma|Ashutosh Jha|Parikshit Hegde|Balaraman Ravindran","2017-02-20 16:31:56","2017-05-21 12:47:34",6.33333333333333,3,"B1nZ1weCZ",NA,"1702.06053v4","automatic"
"Forward Modeling for Partial Observation Strategy Games - A StarCraft Defogger","[""Gabriel Synnaeve"", ""Zeming Lin"", ""Jonas Gehring"", ""Vasil Khalidov"", ""Nicolas Carion"", ""Nicolas Usunier""]","Forward Modeling for Partial Observation Strategy Games - A StarCraft Defogger","Gabriel Synnaeve|Zeming Lin|Jonas Gehring|Dan Gant|Vegard Mella|Vasil Khalidov|Nicolas Carion|Nicolas Usunier","2018-11-30 20:48:31","2018-11-30 20:48:31",4.66666666666667,3,"B1nxTzbRZ",NA,"1812.00054v1","automatic"
"Deep Learning is Robust to Massive Label Noise","[""David Rolnick"", ""Andreas Veit"", ""Serge Belongie"", ""Nir Shavit""]","Deep Learning is Robust to Massive Label Noise","David Rolnick|Andreas Veit|Serge Belongie|Nir Shavit","2017-05-30 15:10:51","2018-02-26 16:51:57",4.66666666666667,3,"B1p461b0W",NA,"1705.10694v3","automatic"
"Pixel Deconvolutional Networks","[""Hongyang Gao"", ""Hao Yuan"", ""Zhengyang Wang"", ""Shuiwang Ji""]","Pixel Deconvolutional Networks","Hongyang Gao|Hao Yuan|Zhengyang Wang|Shuiwang Ji","2017-05-18 22:31:26","2017-11-27 02:53:39",5.33333333333333,3,"B1spAqUp-",NA,"1705.06820v4","automatic"
"Learning Covariate-Specific Embeddings with Tensor Decompositions","[""Kevin Tian"", ""Teng Zhang"", ""James Zou""]",NA,NA,NA,NA,5,3,"B1suU-bAW",NA,NA,"automatic"
"Trace norm regularization and faster inference for embedded speech recognition RNNs","[""Markus Kliegl"", ""Siddharth Goyal"", ""Kexin Zhao"", ""Kavya Srinet"", ""Mohammad Shoeybi""]","Trace norm regularization and faster inference for embedded speech recognition RNNs","Markus Kliegl|Siddharth Goyal|Kexin Zhao|Kavya Srinet|Mohammad Shoeybi","2017-10-25 00:20:55","2018-02-06 10:00:10",4.66666666666667,3,"B1tC-LT6W",NA,"1710.09026v2","automatic"
"LatentPoison -- Adversarial Attacks On The Latent Space","[""Antonia Creswell"", ""Biswa Sengupta"", ""Anil A. Bharath""]","LatentPoison - Adversarial Attacks On The Latent Space","Antonia Creswell|Anil A. Bharath|Biswa Sengupta","2017-11-08 09:37:16","2017-11-08 09:37:16",4,3,"B1tExikAW","1711.02879","1711.02879v1","manual_title"
"Dynamic Integration of Background Knowledge in Neural NLU Systems","[""Dirk Weissenborn"", ""Tomas Kocisky"", ""Chris Dyer""]","Dynamic Integration of Background Knowledge in Neural NLU Systems","Dirk Weissenborn|Tomáš Kočiský|Chris Dyer","2017-06-08 14:10:22","2018-08-21 08:57:43",5.33333333333333,3,"B1twdMCab",NA,"1706.02596v3","automatic"
"Parametric Manifold Learning Via Sparse Multidimensional Scaling","[""Gautam Pai"", ""Ronen Talmon"", ""Ron Kimmel""]",NA,NA,NA,NA,4,3,"B1uvH_gC-",NA,NA,"automatic"
"Predicting Auction Price of Vehicle License Plate with Deep Recurrent Neural Network","[""Vinci Chow""]","Predicting Auction Price of Vehicle License Plate with Deep Recurrent Neural Network","Vinci Chow","2017-01-30 17:14:25","2019-10-08 16:25:45",4.66666666666667,3,"B1ydPgTpW",NA,"1701.08711v5","automatic"
"Large Scale Optimal Transport and Mapping Estimation","[""Vivien Seguy"", ""Bharath Bhushan Damodaran"", ""Remi Flamary"", ""Nicolas Courty"", ""Antoine Rolet"", ""Mathieu Blondel""]","Large-Scale Optimal Transport and Mapping Estimation","Vivien Seguy|Bharath Bhushan Damodaran|Rémi Flamary|Nicolas Courty|Antoine Rolet|Mathieu Blondel","2017-11-07 04:53:07","2018-02-26 01:25:22",6.75,4,"B1zlp1bRW",NA,"1711.02283v2","automatic"
"Learning Differentially Private Recurrent Language Models","[""H. Brendan McMahan"", ""Daniel Ramage"", ""Kunal Talwar"", ""Li Zhang""]","Learning Differentially Private Recurrent Language Models","H. Brendan McMahan|Daniel Ramage|Kunal Talwar|Li Zhang","2017-10-18 23:46:57","2018-02-24 00:40:30",7.33333333333333,3,"BJ0hF1Z0b",NA,"1710.06963v3","automatic"
"Learning what to learn in a neural program","[""Richard Shin"", ""Dawn Song""]",NA,NA,NA,NA,4.66666666666667,3,"BJ4prNx0W",NA,NA,"automatic"
"Multimodal Sentiment Analysis To Explore the Structure of Emotions","[""Anthony Hu"", ""Seth Flaxman""]","Multimodal Sentiment Analysis To Explore the Structure of Emotions","Anthony Hu|Seth Flaxman","2018-05-25 15:40:11","2018-05-25 15:40:11",5,3,"BJ6anzb0Z",NA,"1805.10205v1","automatic"
"Efficiently applying attention to sequential data with the Recurrent Discounted Attention unit","[""Brendan Maginnis"", ""Pierre Richemond""]","Efficiently applying attention to sequential data with the Recurrent Discounted Attention unit","Brendan Maginnis|Pierre H. Richemond","2017-05-23 18:57:50","2017-06-19 08:53:04",4.33333333333333,3,"BJ78bJZCZ",NA,"1705.08480v2","automatic"
"Faster Reinforcement Learning with Expert State Sequences","[""Xiaoxiao Guo"", ""Shiyu Chang"", ""Mo Yu"", ""Miao Liu"", ""Gerald Tesauro""]",NA,NA,NA,NA,5.66666666666667,3,"BJ7d0fW0b",NA,NA,"automatic"
"Auto-Encoding Sequential Monte Carlo","[""Tuan Anh Le"", ""Maximilian Igl"", ""Tom Rainforth"", ""Tom Jin"", ""Frank Wood""]","Auto-Encoding Sequential Monte Carlo","Tuan Anh Le|Maximilian Igl|Tom Rainforth|Tom Jin|Frank Wood","2017-05-29 17:54:11","2018-04-05 09:27:36",5.66666666666667,3,"BJ8c3f-0b",NA,"1705.10306v2","automatic"
"Synthetic and Natural Noise Both Break Neural Machine Translation","[""Yonatan Belinkov"", ""Yonatan Bisk""]","Synthetic and Natural Noise Both Break Neural Machine Translation","Yonatan Belinkov|Yonatan Bisk","2017-11-06 20:59:58","2018-02-24 19:44:38",7.33333333333333,3,"BJ8vJebC-",NA,"1711.02173v2","automatic"
"Domain Adaptation for Deep Reinforcement Learning in Visually Distinct Games","[""Dino S. Ratcliffe"", ""Luca Citi"", ""Sam Devlin"", ""Udo Kruschwitz""]",NA,NA,NA,NA,3,3,"BJB7fkWR-",NA,NA,"automatic"
"Global Convergence of Policy Gradient Methods for Linearized  Control Problems","[""Maryam Fazel"", ""Rong Ge"", ""Sham M. Kakade"", ""Mehran Mesbahi""]",NA,NA,NA,NA,5.33333333333333,3,"BJDEbngCZ",NA,NA,"automatic"
"Synthesizing Robust Adversarial Examples","[""Anish Athalye"", ""Logan Engstrom"", ""Andrew Ilyas"", ""Kevin Kwok""]","Synthesizing Robust Adversarial Examples","Anish Athalye|Logan Engstrom|Andrew Ilyas|Kevin Kwok","2017-07-24 04:17:33","2018-06-07 16:25:12",6.33333333333333,3,"BJDH5M-AW",NA,"1707.07397v3","automatic"
"CausalGAN: Learning Causal Implicit Generative Models with Adversarial Training","[""Murat Kocaoglu"", ""Christopher Snyder"", ""Alexandros G. Dimakis"", ""Sriram Vishwanath""]","CausalGAN: Learning Causal Implicit Generative Models with Adversarial Training","Murat Kocaoglu|Christopher Snyder|Alexandros G. Dimakis|Sriram Vishwanath","2017-09-06 22:53:12","2017-09-14 22:52:47",7.33333333333333,3,"BJE-4xW0W",NA,"1709.02023v2","automatic"
"Critical Percolation as a Framework to Analyze the Training of Deep Networks","[""Zohar Ringel"", ""Rodrigo Andrade de Bem""]","Critical Percolation as a Framework to Analyze the Training of Deep Networks","Zohar Ringel|Rodrigo de Bem","2018-02-06 19:00:01","2018-02-06 19:00:01",6.66666666666667,3,"BJGWO9k0Z",NA,"1802.02154v1","automatic"
"FusionNet: Fusing via Fully-aware Attention with Application to Machine Comprehension","[""Hsin-Yuan Huang"", ""Chenguang Zhu"", ""Yelong Shen"", ""Weizhu Chen""]","FusionNet: Fusing via Fully-Aware Attention with Application to Machine Comprehension","Hsin-Yuan Huang|Chenguang Zhu|Yelong Shen|Weizhu Chen","2017-11-16 03:52:41","2018-02-04 04:56:45",7.33333333333333,3,"BJIgi_eCZ",NA,"1711.07341v2","automatic"
"Learning Representations and Generative Models for 3D Point Clouds","[""Panos Achlioptas"", ""Olga Diamanti"", ""Ioannis Mitliagkas"", ""Leonidas Guibas""]","Learning Representations and Generative Models for 3D Point Clouds","Panos Achlioptas|Olga Diamanti|Ioannis Mitliagkas|Leonidas Guibas","2017-07-08 03:44:49","2018-06-12 04:27:00",6.33333333333333,3,"BJInEZsTb",NA,"1707.02392v3","automatic"
"Generative Entity Networks: Disentangling Entitites and Attributes in Visual Scenes using Partial Natural Language Descriptions","[""Charlie Nash"", ""Sebastian Nowozin"", ""Nate Kushman""]",NA,NA,NA,NA,4.66666666666667,3,"BJInMmWC-",NA,NA,"automatic"
"Reinforcement Learning from Imperfect Demonstrations","[""Yang Gao"", ""Huazhe(Harry) Xu"", ""Ji Lin"", ""Fisher Yu"", ""Sergey Levine"", ""Trevor Darrell""]","Reinforcement Learning from Imperfect Demonstrations","Yang Gao|Huazhe Xu|Ji Lin|Fisher Yu|Sergey Levine|Trevor Darrell","2018-02-14 20:37:38","2019-05-30 04:39:22",5.33333333333333,3,"BJJ9bz-0-",NA,"1802.05313v2","automatic"
"Deep Autoencoding Gaussian Mixture Model for Unsupervised Anomaly Detection","[""Bo Zong"", ""Qi Song"", ""Martin Renqiang Min"", ""Wei Cheng"", ""Cristian Lumezanu"", ""Daeki Cho"", ""Haifeng Chen""]",NA,NA,NA,NA,8,3,"BJJLHbb0-",NA,NA,"automatic"
"Character Level Based Detection of DGA Domain Names","[""Bin Yu"", ""Jie Pan"", ""Jiaming Hu"", ""Anderson Nascimento"", ""Martine De Cock""]",NA,NA,NA,NA,5.33333333333333,3,"BJLmN8xRW",NA,NA,"automatic"
